[0.000000] (-) TimerEvent: {}
[0.000428] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000545] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000836] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000910] (-) JobUnselected: {'identifier': 'clearpath_common'}
[0.000952] (-) JobUnselected: {'identifier': 'clearpath_config'}
[0.000992] (-) JobUnselected: {'identifier': 'clearpath_control'}
[0.001039] (-) JobUnselected: {'identifier': 'clearpath_customization'}
[0.001076] (-) JobUnselected: {'identifier': 'clearpath_description'}
[0.001116] (-) JobUnselected: {'identifier': 'clearpath_generator_common'}
[0.001153] (-) JobUnselected: {'identifier': 'clearpath_manipulators'}
[0.001615] (-) JobUnselected: {'identifier': 'clearpath_manipulators_description'}
[0.002386] (-) JobUnselected: {'identifier': 'clearpath_mounts_description'}
[0.002528] (-) JobUnselected: {'identifier': 'clearpath_msgs'}
[0.002649] (-) JobUnselected: {'identifier': 'clearpath_platform'}
[0.002746] (-) JobUnselected: {'identifier': 'clearpath_platform_description'}
[0.002850] (-) JobUnselected: {'identifier': 'clearpath_platform_msgs'}
[0.003005] (-) JobUnselected: {'identifier': 'clearpath_sensors_description'}
[0.003188] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.003438] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.003563] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.003631] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.003700] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.003798] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.003888] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.003976] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.004103] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.004200] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.004270] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.004333] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.004378] (-) JobUnselected: {'identifier': 'gz_ros2_control'}
[0.004423] (-) JobUnselected: {'identifier': 'gz_ros2_control_demos'}
[0.004474] (-) JobUnselected: {'identifier': 'gz_ros2_control_tests'}
[0.004527] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.004585] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.004658] (-) JobUnselected: {'identifier': 'ign_ros2_control'}
[0.004730] (-) JobUnselected: {'identifier': 'ign_ros2_control_demos'}
[0.004801] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.004868] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.004908] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.004948] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.004995] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.005035] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.005075] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.005117] (-) JobUnselected: {'identifier': 'kinova_vision'}
[0.005160] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.005202] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.005269] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.005321] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.005357] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.005391] (-) JobUnselected: {'identifier': 'nlopt'}
[0.005427] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.005461] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.005496] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.005528] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.005567] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.005607] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.005642] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.005676] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.005736] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.005770] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.005805] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.005838] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.005871] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.005906] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.005938] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.005971] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.006002] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.006037] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.006069] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.006104] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.006138] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.006171] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.006202] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.006256] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.006302] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.006333] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.006366] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.006429] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.006462] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.006495] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.006525] (-) JobUnselected: {'identifier': 'serial'}
[0.006555] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.006585] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.006615] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.006648] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.006682] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.006714] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.006748] (-) EventReactorShutdown: {}
